tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0035423,Kate & Leopold,Kate & Leopold,2001.0,2000.0,118,Comedy,"Comedy,Fantasy,Romance",6.4,93631,Average (6.0-6.9),Major (50K-100K),True,nm0003506,"nm0737216,nm0003506"
tt0062336,The Tango of the Widower and Its Distorting Mirror,El tango del viudo y su espejo deformante,2020.0,2020.0,70,Drama,Drama,6.3,269,Average (6.0-6.9),Niche (<1K),True,"nm0749914,nm0765384","nm0749914,nm1146177"
tt0069049,The Other Side of the Wind,The Other Side of the Wind,2018.0,2010.0,122,Drama,Drama,6.7,8485,Average (6.0-6.9),Known (1K-10K),True,nm0000080,"nm0000080,nm0462648"
tt0070596,Socialist Realism,El realismo socialista,2023.0,2020.0,78,Drama,"Drama,History",7.0,202,Good (7.0-7.9),Niche (<1K),True,"nm0749914,nm0765384","nm0667610,nm0749914,nm0765384"
tt0082328,Embodiment of Evil,Encarnação do Demônio,2008.0,2000.0,94,Horror,Horror,5.9,1922,Below Average (5.0-5.9),Known (1K-10K),True,nm0596261,"nm0707963,nm0596261"
tt0083612,The Prom,Der Ball,2002.0,2000.0,50,Documentary,Documentary,6.2,188,Average (6.0-6.9),Niche (<1K),True,nm0782430,nm0782430
tt0088751,The Naked Monster,The Naked Monster,2005.0,2000.0,100,Comedy,"Comedy,Horror,Sci-Fi",5.3,377,Below Average (5.0-5.9),Niche (<1K),True,"nm0078540,nm0628399",nm0628399
tt0093119,Grizzly II: Revenge,Grizzly II: The Predator,2020.0,2020.0,74,Horror,"Horror,Music,Thriller",2.7,2267,Poor (<5.0),Known (1K-10K),True,nm0007013,"nm0564651,nm0791007"
tt0096056,Crime and Punishment,Crime and Punishment,2002.0,2000.0,126,Drama,Drama,5.4,949,Below Average (5.0-5.9),Niche (<1K),True,nm0324875,"nm0234502,nm0324875"
tt0100275,The Wandering Soap Opera,La Telenovela Errante,2017.0,2010.0,80,Comedy,"Comedy,Drama,Fantasy",6.5,458,Average (6.0-6.9),Niche (<1K),True,"nm0749914,nm0765384","nm1360635,nm0749914"
tt0106493,The Final Scoop,Bugie rosse,2019.0,2010.0,89,Horror,"Horror,Thriller",4.7,118,Poor (<5.0),Niche (<1K),True,nm0132108,nm0132108
tt0107035,The Goodbye Bird,The Goodbye Bird,2000.0,2000.0,91,Adventure,"Adventure,Drama,Family",5.2,141,Below Average (5.0-5.9),Niche (<1K),True,"nm0164609,nm0849587","nm0096521,nm12954418"
tt0108116,Shepherd on the Rock,Shepherd on the Rock,2014.0,2010.0,90,Drama,Drama,5.9,106,Below Average (5.0-5.9),Niche (<1K),True,nm0444571,nm0010570
tt0110476,Master i Margarita,Master i Margarita,2006.0,2000.0,125,Drama,"Drama,Fantasy",6.4,765,Average (6.0-6.9),Niche (<1K),True,nm0438671,"nm0119888,nm0438671"
tt0113026,The Fantasticks,The Fantasticks,2000.0,2000.0,86,Musical,"Musical,Romance",5.7,1490,Below Average (5.0-5.9),Known (1K-10K),True,nm0006916,"nm0429368,nm0772974"
tt0113092,For the Cause,For the Cause,2000.0,2000.0,100,Action,"Action,Adventure,Drama",3.4,869,Poor (<5.0),Niche (<1K),True,"nm0235012,nm0003644","nm0235012,nm0757682"
tt0113453,How to Deserve a Princess,Jak si zaslouzit princeznu,2000.0,2000.0,72,Family,"Family,Fantasy",5.5,109,Below Average (5.0-5.9),Niche (<1K),True,nm0773002,"nm0625846,nm0773002,nm0765859"
tt0113506,Justifiable Homicide,Justifiable Homicide,2002.0,2000.0,85,Documentary,Documentary,4.7,244,Poor (<5.0),Niche (<1K),True,nm1297149,
tt0114447,The Silent Force,The Silent Force,2001.0,2000.0,90,Action,Action,4.1,182,Poor (<5.0),Niche (<1K),True,nm0561917,nm0561917
tt0116391,Gang,Gang,2000.0,2000.0,167,Action,"Action,Crime,Drama",6.3,296,Average (6.0-6.9),Niche (<1K),True,nm0451261,
tt0116748,Karobaar,Karobaar: The Business of Love,2000.0,2000.0,180,Drama,"Drama,Romance",3.8,327,Poor (<5.0),Niche (<1K),True,nm0004363,"nm0080432,nm1174579,nm0765166"
tt0117915,Timelock,Timelock,2000.0,2000.0,96,Action,"Action,Sci-Fi",3.2,580,Poor (<5.0),Niche (<1K),True,nm0612855,"nm0055316,nm0000094"
tt0118141,What Is It?,What Is It?,2005.0,2000.0,72,Drama,Drama,5.2,1031,Below Average (5.0-5.9),Known (1K-10K),True,nm0000417,nm0000417
tt0118578,Albela,Albela,2001.0,2000.0,145,Comedy,"Comedy,Drama,Romance",3.7,926,Poor (<5.0),Niche (<1K),True,nm0765039,"nm0409790,nm0796503"
tt0118589,Glitter,Glitter,2001.0,2000.0,104,Drama,"Drama,Music,Romance",2.5,24479,Poor (<5.0),Popular (10K-50K),True,nm0193554,"nm0921985,nm0486824"
tt0118652,The Attic Expeditions,The Attic Expeditions,2001.0,2000.0,100,Comedy,"Comedy,Horror,Mystery",4.9,2028,Poor (<5.0),Known (1K-10K),True,nm0440948,nm0551138
tt0118656,Murderers,Meurtrières,2006.0,2000.0,98,Crime,"Crime,Drama",6.0,344,Average (6.0-6.9),Niche (<1K),True,nm0334924,"nm2212508,nm0334924,nm0681207,nm1970707,nm2072818"
tt0118694,In the Mood for Love,Fa yeung nin wah,2000.0,2000.0,98,Drama,"Drama,Romance",8.0,186694,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0939182,nm0939182
tt0118710,Beyond the Pale,Beyond the Pale,2000.0,2000.0,96,Drama,Drama,6.8,162,Average (6.0-6.9),Niche (<1K),True,nm0063276,"nm0063276,nm0164934"
tt0118852,Chinese Coffee,Chinese Coffee,2000.0,2000.0,99,Drama,Drama,7.0,5005,Good (7.0-7.9),Known (1K-10K),True,nm0000199,nm0507277
tt0118911,Fandango,Fandango,2000.0,2000.0,94,Unknown,Unknown,5.5,201,Below Average (5.0-5.9),Niche (<1K),True,nm0321894,"nm0081395,nm0321894"
tt0118926,The Dancer Upstairs,The Dancer Upstairs,2002.0,2000.0,132,Crime,"Crime,Drama,Thriller",6.9,7227,Average (6.0-6.9),Known (1K-10K),True,nm0000518,nm0787649
tt0119004,Don's Plum,Don's Plum,2001.0,2000.0,89,Comedy,"Comedy,Drama",5.5,5039,Below Average (5.0-5.9),Known (1K-10K),True,nm0730222,"nm0923673,nm0730222,nm0039192,nm0065818,nm0836476"
tt0119231,The Junior Defenders,The Junior Defenders,2007.0,2000.0,82,Comedy,Comedy,4.3,203,Poor (<5.0),Niche (<1K),True,nm0818538,nm0818538
tt0119273,Heavy Metal 2000,Heavy Metal 2000,2000.0,2000.0,88,Action,"Action,Adventure,Animation",5.4,10181,Below Average (5.0-5.9),Popular (10K-50K),True,"nm0170402,nm0501341","nm0247653,nm0084253,nm0847905,nm0127560,nm0313274,nm0591516,nm0651450,nm0881089,nm0532146"
tt0119354,Illusions of Sin,Illusions of Sin,2000.0,2000.0,88,Drama,"Drama,Mystery,Thriller",3.9,181,Poor (<5.0),Niche (<1K),True,nm0316957,nm0047290
tt0119495,Love 101,Love 101,2000.0,2000.0,86,Comedy,"Comedy,Drama,Romance",5.1,162,Below Average (5.0-5.9),Niche (<1K),True,nm0298158,"nm0298158,nm1593179,nm1244125"
tt0119727,The Policewoman,A Mulher Polícia,2003.0,2000.0,90,Drama,Drama,5.0,122,Below Average (5.0-5.9),Niche (<1K),True,nm0764585,nm0764585
tt0119866,Passionnément,Passionnément,2000.0,2000.0,104,Drama,"Drama,Romance",5.4,103,Below Average (5.0-5.9),Niche (<1K),True,nm0005814,nm0005814
tt0119970,My Apocalypse,Quality Time,2008.0,2000.0,82,Comedy,"Comedy,Drama,Sci-Fi",5.8,138,Below Average (5.0-5.9),Niche (<1K),True,nm0483645,"nm0067545,nm0483645,nm0002911"
tt0120117,Shikari,Shikari,2000.0,2000.0,160,Crime,"Crime,Drama,Thriller",4.7,579,Poor (<5.0),Niche (<1K),True,nm0151504,"nm0151504,nm0442396,nm0661494"
tt0120166,The Sorcerer's Apprentice,The Sorcerer's Apprentice,2001.0,2000.0,86,Adventure,"Adventure,Family,Fantasy",4.2,795,Poor (<5.0),Niche (<1K),True,nm0514247,nm3694845
tt0120202,State and Main,State and Main,2000.0,2000.0,105,Comedy,"Comedy,Drama",6.7,23499,Average (6.0-6.9),Popular (10K-50K),True,nm0000519,nm0000519
tt0120263,Songs from the Second Floor,Sånger från andra våningen,2000.0,2000.0,98,Comedy,"Comedy,Drama",7.5,21456,Good (7.0-7.9),Popular (10K-50K),True,nm0027815,nm0027815
tt0120454,Vinyl,Vinyl,2000.0,2000.0,110,Documentary,Documentary,7.2,509,Good (7.0-7.9),Niche (<1K),True,nm0958997,
tt0120467,Vulgar,Vulgar,2000.0,2000.0,87,Crime,"Crime,Drama,Thriller",5.2,4418,Below Average (5.0-5.9),Known (1K-10K),True,nm0424682,nm0424682
tt0120589,The Surgeon of the Rusty Knife,Predestinado,2022.0,2020.0,108,Biography,"Biography,Drama",7.2,569,Good (7.0-7.9),Niche (<1K),True,nm0004000,"nm0298266,nm1860699"
tt0120624,Camarate,Camarate,2001.0,2000.0,100,Drama,"Drama,History",6.7,188,Average (6.0-6.9),Niche (<1K),True,nm0733821,"nm0733821,nm0182231"
tt0120626,April Captains,Capitães de Abril,2000.0,2000.0,123,Drama,"Drama,History,War",7.1,3607,Good (7.0-7.9),Known (1K-10K),True,nm0210218,"nm0210218,nm0213476"
tt0120630,Chicken Run,Chicken Run,2000.0,2000.0,84,Adventure,"Adventure,Animation,Comedy",7.1,224170,Good (7.0-7.9),Blockbuster (100K+ votes),True,"nm0520485,nm0661910","nm0520485,nm0661910,nm0456732,nm0123666,nm0640976"
tt0120667,Fantastic Four,Fantastic Four,2005.0,2000.0,106,Action,"Action,Adventure,Fantasy",5.7,372337,Below Average (5.0-5.9),Blockbuster (100K+ votes),True,nm1103162,"nm0004111,nm0289833,nm0498278,nm0456158"
tt0120679,Frida,Frida,2002.0,2000.0,123,Biography,"Biography,Drama,Romance",7.3,101229,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0853380,"nm0380419,nm0797397,nm1187860,nm0622695,nm0858482"
tt0120681,From Hell,From Hell,2001.0,2000.0,122,Crime,"Crime,Horror,Mystery",6.7,171410,Average (6.0-6.9),Blockbuster (100K+ votes),True,"nm0400436,nm0400441","nm0600872,nm0132427,nm0371249,nm0947913"
tt0120698,The Highwayman,The Highwayman,2000.0,2000.0,94,Comedy,"Comedy,Drama,Thriller",4.5,386,Poor (<5.0),Niche (<1K),True,nm0915394,nm0064174
tt0120733,Lion of Oz,Lion of Oz,2000.0,2000.0,74,Animation,"Animation,Family,Musical",5.6,419,Below Average (5.0-5.9),Niche (<1K),True,nm0212593,"nm0504327,nm0748429,nm0062126,nm0000875"
tt0120737,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,2001.0,2000.0,178,Adventure,"Adventure,Drama,Fantasy",8.9,2192090,Excellent (8.0+),Blockbuster (100K+ votes),True,nm0001392,"nm0866058,nm0909638,nm0101991,nm0001392"
tt0120753,The Million Dollar Hotel,The Million Dollar Hotel,2000.0,2000.0,122,Drama,"Drama,Mystery,Romance",5.7,23208,Below Average (5.0-5.9),Popular (10K-50K),True,nm0000694,"nm0458911,nm0095104"
tt0120755,Mission: Impossible II,Mission: Impossible II,2000.0,2000.0,123,Action,"Action,Adventure,Thriller",6.1,412061,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000247,"nm0312367,nm0601822,nm0103804,nm0001801"
tt0120804,Resident Evil,Resident Evil,2002.0,2000.0,100,Action,"Action,Horror,Sci-Fi",6.6,308326,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0027271,nm0027271
tt0120807,Ricochet River,Ricochet River,2001.0,2000.0,112,Drama,Drama,4.8,341,Poor (<5.0),Niche (<1K),True,nm0215769,"nm0168613,nm0640470"
tt0120824,The Shipping News,The Shipping News,2001.0,2000.0,111,Drama,Drama,6.7,34706,Average (6.0-6.9),Popular (10K-50K),True,nm0002120,"nm0698925,nm0414608"
tt0120903,X-Men,X-Men,2000.0,2000.0,104,Action,"Action,Adventure,Sci-Fi",7.3,688846,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0001741,"nm0220892,nm0001741,nm0371684"
tt0120912,Men in Black II,Men in Black II,2002.0,2000.0,88,Action,"Action,Adventure,Comedy",6.2,429413,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0001756,"nm0192384,nm0330565,nm0266673"
tt0120913,Titan A.E.,Titan A.E.,2000.0,2000.0,94,Action,"Action,Adventure,Animation",6.6,66471,Average (6.0-6.9),Major (50K-100K),True,"nm0089940,nm0325776","nm0061829,nm0566595,nm0249421,nm0041864,nm0923736"
tt0120917,The Emperor's New Groove,The Emperor's New Groove,2000.0,2000.0,78,Adventure,"Adventure,Animation,Comedy",7.4,247006,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0227540,"nm0721675,nm0930261,nm0227540,nm0027459,nm2320658,nm0636236,nm0021249,nm0414226,nm0291208,nm0448208,nm0910559"
tt0121164,Corpse Bride,Corpse Bride,2005.0,2000.0,77,Animation,"Animation,Comedy,Drama",7.4,326669,Good (7.0-7.9),Blockbuster (100K+ votes),True,"nm0000318,nm0425843","nm0041864,nm0003031,nm0972040,nm0000318,nm0335022"
tt0121765,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones,2002.0,2000.0,142,Action,"Action,Adventure,Fantasy",6.6,815539,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000184,"nm0000184,nm0355054"
tt0121766,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith,2005.0,2000.0,140,Action,"Action,Adventure,Fantasy",7.7,915529,Good (7.0-7.9),Blockbuster (100K+ votes),True,nm0000184,nm0000184
tt0122247,Serial Killing 4 Dummys,Serial Killing 4 Dummys,2004.0,2000.0,89,Comedy,"Comedy,Horror,Mystery",5.2,836,Below Average (5.0-5.9),Niche (<1K),True,nm0806102,"nm1257251,nm0806102"
